order_id,region,category,channel,amount
1,east,office,store,18
2,west,book,store,35
3,north,home,web,52
4,east,sport,web,69
5,south,book,web,86
6,east,office,web,103
7,east,digital,app,120
8,east,toy,app,137
9,south,digital,web,154
10,north,office,app,171
11,east,digital,app,188
12,south,beauty,store,205
13,south,beauty,store,222
14,east,beauty,store,239
15,south,office,app,256
16,south,home,store,273
17,east,beauty,web,290
18,east,book,app,307
19,east,food,store,324
20,north,digital,app,341
21,south,digital,web,358
22,east,food,web,375
23,south,home,web,392
24,west,sport,app,409
25,east,book,app,426
26,south,beauty,store,443
27,north,office,store,460
28,south,beauty,web,477
29,west,book,store,494
30,north,beauty,app,11
31,east,office,app,28
32,south,office,store,45
33,north,book,app,62
34,north,office,web,79
35,north,home,app,96
36,north,sport,store,113
37,east,digital,web,130
38,west,toy,web,147
39,east,sport,web,164
40,south,digital,web,181
41,north,beauty,store,198
42,south,home,store,215
43,south,beauty,store,232
44,south,office,web,249
45,west,digital,web,266
46,north,office,web,283
47,west,sport,app,300
48,north,sport,web,317
49,north,beauty,store,334
50,north,food,web,351
51,north,beauty,store,368
52,east,book,store,385
53,west,food,app,402
54,east,book,store,419
55,south,beauty,web,436
56,west,digital,web,453
57,east,office,app,470
58,north,book,store,487
59,north,beauty,app,4
60,north,beauty,store,21
61,east,home,store,38
62,south,beauty,web,55
63,west,toy,store,72
64,north,food,web,89
65,south,office,app,106
66,west,book,app,123
67,east,home,store,140
68,south,office,app,157
69,west,food,web,174
70,east,home,store,191
71,west,beauty,web,208
72,south,digital,store,225
73,north,beauty,web,242
74,north,food,store,259
75,north,sport,web,276
76,south,home,store,293
77,south,digital,app,310
78,south,digital,web,327
79,east,toy,store,344
80,north,food,app,361
81,south,sport,web,378
82,north,office,app,395
83,south,digital,app,412
84,north,digital,app,429
85,south,digital,app,446
86,east,beauty,store,463
87,south,digital,store,480
88,south,office,store,497
89,west,home,web,14
90,north,office,app,31
91,west,book,app,48
92,west,digital,store,65
93,north,food,app,82
94,north,toy,web,99
95,east,food,web,116
96,north,book,web,133
97,north,beauty,web,150
98,east,food,web,167
99,west,home,app,184
100,north,toy,web,201
101,east,beauty,store,218
102,south,digital,store,235
103,west,food,store,252
104,east,home,store,269
105,south,toy,app,286
106,south,home,app,303
107,south,toy,store,320
108,south,book,store,337
