id,token,hash_like,metric
1,token-000001-4db917366b116c17,cc770f5573bc231f22ec8bcfb9d3c8ba8dd862b69377b08cadd6f860cfa0b8f7,100100
2,token-000002-e08d303bc8aa94a2,3c973f8d0864896f06c72ea6dfd290340b23eb429a2fe9f2c8b1b6a639492aa0,200103
3,token-000003-9f3e84032ba9c310,2ac7383e8cd0b03e40be54a592621456da2c49fd739ff7f5295c25a10d41517d,300106
4,token-000004-ef6a2de6912bffab,277fef5977cca08931cbaa91c3faf91c98af7dbda63f8f60b5850b091b168251,400109
5,token-000005-d7e823229a7bd83d,f3b77ede1822b8789968ac1bd0502ca9a201d951f9410eb9f334d41accb85899,500112
6,token-000006-2bba9bae7472e78d,ac1de20ee8aa9b6e68b63962a50cf1488ea9267a71b7d68d3b11c6ac3cba77db,600115
7,token-000007-c322f29c87c14737,dd3735e6ee6dd1d71f78ba67a058ca7e2727433efe3a5c444d66b2db0b503d48,700118
8,token-000008-b8a6ad498f288d81,96d09eb3858e8922ecf6fb9f1a8358b0a8afc0f31bc48db0a3fa0f77d241021e,800121
9,token-000009-5c84b696b55343a6,8dcaae6ca46fae7b9c0ccd655aa56fb1d555891a4810f60405754b47b73063c8,900124
10,token-000010-471d34199bd7a941,6fe907ad8b5254ab91d9644ed53d94f8f244ead15a5270580f258375bd32abbd,1000127
11,token-000011-542022f078bb1479,dbfc9f2919fc71d6b918fa092bf57a8699006031e7607db1871ba3936c5993bc,1100130
12,token-000012-6f92173cf22fa4d0,633c14f15caaeda757b9d8e0987dc679ec80957b4a471c920ec200ebaee22df0,1200133
13,token-000013-d55d2e94f5ce8966,679f49de9280830bafe2bb5157007c805eeb91a536322b8540e85fc3b3a266ea,1300136
14,token-000014-6b11ad234ec0df13,0397c86dc74ed73159f849e35a1ef38e426ce1625f484fcf24a422288691e6fc,1400139
15,token-000015-add9a2a7bdeb9119,e00d6159088d979b4029c11533db411d8de4a9705be318835fe7c9e70df43a0a,1500142
16,token-000016-a57423452f92f2b4,8115652f536a3a2afa70b92ee4fa09aeae2bf2792bdf07cefd85c06221c10be0,1600145
17,token-000017-d38a47c1540f19e1,67620294a2ec2fd4f898fb725874bbfc4ce5be30e25fb7c24248003c781953a0,1700148
18,token-000018-aa6d5815aceed8ec,a09740c176f5429e189f01360f96d3e8f2c25431ee52fcc3231f399435cc22c2,1800151
19,token-000019-c46c0f3681f3358d,f1683f1c234f3585df19d5fdd287c0e8f0c092a41c61593e1fd07337dab6f819,1900154
20,token-000020-c833aa6cf4b9bd95,33f538e5d2205c5c00507727b06a300cdca55c6f9f5220c527e17a9e1a6c316d,2000157
21,token-000021-89f5c045dcfa86c6,9dc68cf485ba2584233508f69b6f31dfe4809bb8ec5955b7694801d3b965ad51,2100160
22,token-000022-c0c1f310f67495d6,4612dea6c4e86f2ae38cb3ef972ede987f95eab4c09a3f380bbff27b66713d2a,2200163
23,token-000023-8c7cea3ec200f55c,424c42c229742ae970126542873cbf3ac5d1a4cad3e5e7b2acf4871e61959369,2300166
24,token-000024-67124f59b6df18a8,3ffde0d56613a56b0f023364f61d46bd9037f2dfc89db09e39b1af2fd451d7e7,2400169
25,token-000025-434b8e6cbc08d28e,e0516c74900b574e3e420365c24e73b516cd8805046a6625fd8dd4994e2141bd,2500172
26,token-000026-fb7c285f8b659e51,b7bc9bc1420d972bd25b1b9d1e6175aec6bf5016fbedc18386c2bce317c954e6,2600175
27,token-000027-1a13baea2fb691b2,56924d226ee16af233b7e8b990c43b5991052912838ea35bd6f20965c76a46e8,2700178
28,token-000028-7ab6b25f0709ca70,02ccbab1a5c07274d483a655540d07f96f0e84b78b1ee1fdf4560bc2f2315a7a,2800181
29,token-000029-d054b31d40ed9b41,a510495b86b309557200a7a57c21d69886daef845ab7f4eebffba0e7dd136bcd,2900184
30,token-000030-98266417f338c5ca,47f5611f72102f26ac2f4463da065f0b9aed876a9b562926e04f1d9de1918fb5,3000187
31,token-000031-16100ed7b707c0c0,c934cf5b187bb08fd463e3e15376506cdd5922399f356cb788941814043fc145,3100190
32,token-000032-7f167056bceb753a,6ab71ffa224dc76883e3d155616b0c9abfbfb37bbe8eec2b6cfcb066ade299d4,3200193
33,token-000033-92d64cc49902caae,0dede599142a1a214b5057da95ffca6c1a10db14729b4481c7c51a8d9b91adc5,3300196
34,token-000034-03c3b5ade18d0281,01d72d388ae0846a3c3d8e77804d4a82cbebef63ab3b38c9531b59dfdb643c50,3400199
35,token-000035-7bf3097c5c8ddb20,2a88bb638911bdb50eb272e511ece1065b36dfcad44f45899a936c89c4cafae6,3500202
36,token-000036-321d947ef8d82121,7456aefb52989d2d1155a2f151a71f3ad6bf8959edf2fbb4e7339f8ad09c30a2,3600205
37,token-000037-807c62230223ec79,ea5dd46144fd548aa789ea25f199dc80fd1015882100077ae272a181c20f6e4c,3700208
38,token-000038-7c117db49d75c94a,cf382f85fb153d1ab26556b1646e02639fb27d559d2ef35a064bd6023343e916,3800211
39,token-000039-bd88c9929973d8e6,6d29ee52dd49bf2844ba396f9fae96769e267e260af200ed0f117142e6ea0377,3900214
40,token-000040-ba16639652cf5657,15aaf0167baf3cbdfa49de86e4f7aa2b90914e8890ae5302b65449cf23311f4b,4000217
41,token-000041-2afbc5bc87e3aae1,249d46889f48cedbb52e886787d2307fcbb7fb0f5c22496611dc884bcd2f7730,4100220
42,token-000042-d7716a134d022f5b,4e969a150fb33b836968246b16e4004f0b51704fd73bea6eac5fa1b6a978a077,4200223
43,token-000043-eefe65acbe113069,5ffb092f14c848e9dce2a782a6ba36eb413f7189d60d7171a982f205964e7201,4300226
44,token-000044-10d71bea2071be68,ea37b7b55fa54e2d74407feadc4e65a6500766fddba7657301429b3cfe920a54,4400229
45,token-000045-d79c76166526ca57,75d20221093da258d05f091785c2ad742fe32a8a4ed665e719538ce69db547e6,4500232
