id,region,amount,status
1,north,0,review
2,north,1,ok
3,north,2,ok
4,north,3,ok
5,north,4,ok
6,north,5,review
7,north,6,ok
8,north,7,ok
9,north,8,ok
10,north,9,ok
11,north,10,review
12,north,11,ok
13,north,12,ok
14,north,13,ok
15,north,14,ok
16,north,15,review
17,north,16,ok
18,north,17,ok
19,north,18,ok
20,north,19,ok
21,north,20,review
22,north,21,ok
23,north,22,ok
24,north,23,ok
25,north,24,ok
26,north,25,review
27,north,26,ok
28,north,27,ok
29,north,28,ok
30,north,29,ok
31,north,30,review
32,north,31,ok
33,north,32,ok
34,north,33,ok
35,north,34,ok
36,north,35,review
37,north,36,ok
38,north,37,ok
39,north,38,ok
40,north,39,ok
41,north,40,review
42,north,41,ok
43,north,42,ok
44,north,43,ok
45,north,44,ok
46,north,45,review
47,north,46,ok
48,north,47,ok
49,north,48,ok
50,north,49,ok
51,north,50,review
52,north,51,ok
53,north,52,ok
54,north,53,ok
55,north,54,ok
56,north,55,review
57,north,56,ok
58,north,57,ok
59,north,58,ok
60,north,59,ok
61,north,60,review
62,north,61,ok
63,north,62,ok
64,north,63,ok
65,north,64,ok
66,north,65,review
67,north,66,ok
68,north,67,ok
69,north,68,ok
70,north,69,ok
71,north,70,review
72,north,71,ok
73,north,72,ok
74,north,73,ok
75,north,74,ok
76,north,75,review
77,north,76,ok
78,north,77,ok
79,north,78,ok
80,north,79,ok
81,north,80,review
82,north,81,ok
83,north,82,ok
84,north,83,ok
85,north,84,ok
86,north,85,review
87,north,86,ok
88,north,87,ok
89,north,88,ok
90,north,89,ok
91,north,90,review
92,north,91,ok
93,north,92,ok
94,north,93,ok
95,north,94,ok
96,north,95,review
97,north,96,ok
98,north,97,ok
99,north,98,ok
100,north,99,ok
101,north,0,review
102,north,1,ok
103,north,2,ok
104,north,3,ok
105,north,4,ok
106,north,5,review
107,north,6,ok
108,north,7,ok
109,north,8,ok
110,north,9,ok
111,north,10,review
112,north,11,ok
113,north,12,ok
114,north,13,ok
115,north,14,ok
116,north,15,review
117,north,16,ok
118,north,17,ok
119,north,18,ok
120,north,19,ok
121,north,20,review
122,north,21,ok
123,north,22,ok
124,north,23,ok
125,north,24,ok
126,north,25,review
127,north,26,ok
128,north,27,ok
129,north,28,ok
130,north,29,ok
131,north,30,review
132,north,31,ok
133,north,32,ok
134,north,33,ok
135,north,34,ok
136,north,35,review
137,north,36,ok
138,north,37,ok
139,north,38,ok
140,north,39,ok
141,north,40,review
142,north,41,ok
143,north,42,ok
144,north,43,ok
145,north,44,ok
146,north,45,review
147,north,46,ok
148,north,47,ok
149,north,48,ok
150,north,49,ok
151,north,50,review
152,north,51,ok
153,north,52,ok
154,north,53,ok
155,north,54,ok
156,north,55,review
157,north,56,ok
158,north,57,ok
159,north,58,ok
160,north,59,ok
161,north,60,review
162,north,61,ok
163,north,62,ok
164,north,63,ok
165,north,64,ok
166,north,65,review
167,north,66,ok
168,north,67,ok
169,north,68,ok
170,north,69,ok
171,north,70,review
172,north,71,ok
173,north,72,ok
174,north,73,ok
175,north,74,ok
176,north,75,review
177,north,76,ok
178,north,77,ok
179,north,78,ok
180,north,79,ok
181,north,80,review
182,north,81,ok
183,north,82,ok
184,north,83,ok
185,north,84,ok
186,north,85,review
187,north,86,ok
188,north,87,ok
189,north,88,ok
190,north,89,ok
191,north,90,review
192,north,91,ok
193,north,92,ok
194,north,93,ok
195,north,94,ok
196,north,95,review
